County-Precinct,County,Precinct,Registered,Total ballots,2016 % Turnout,S-D,%SD,S-R,%SR,Hillary,%H,Trump,%T,Gibson,%G,Olsen,%O,Registered Voters,% RV growth,2018 EV Total,EV Turnout,2016 Hillary Weight,2016 Trump Weight,0-30,30-70,70-100,,Unknown,Vote Share Discrepancy ,Hillary - (lean/strong dem EV civis),Hillary Weighted Deficit,,Potential vote Deficit,2016 Ballot Deficit,GOTV NOTES,Ethnicity
Fort Bend-1087,Fort Bend,1087,1801,1351,75.01%,276,20.43%,655,48.48%,428,31.68%,847,62.69%,371,27.46%,955,70.69%,1852,2.83%,865,46.71%,274,542,550,119,165,236,31,-4.35%,27,-154,-127,-268,-486,,
Fort Bend-1141,Fort Bend,1141,1332,1172,87.99%,244,20.82%,605,51.62%,369,31.48%,744,63.48%,312,26.62%,832,70.99%,2051,53.98%,1420,69.23%,447,901,741,320,294,486,65,2.74%,-411,78,-333,-454,248,"retirement community, do not walk",
Fort Bend-1128,Fort Bend,1128,3300,2422,73.39%,441,18.21%,1293,53.39%,737,30.43%,1558,64.33%,611,25.23%,1772,73.16%,3285,-0.45%,1609,48.98%,490,1035,1100,200,247,367,62,-7.62%,123,-247,-124,-545,-813,,
Fort Bend-3005,Fort Bend,3005,6141,4491,73.13%,920,20.49%,2300,51.21%,1357,30.22%,2903,64.64%,1219,27.14%,3155,70.25%,3130,,1647,52.62%,498,1065,1252,155,177,270,63,-13.82%,910,-859,51,-567,-2844,,
Harris-537,Harris,537,3174,2424,76.37%,468,19.30%,1255,51.80%,725,29.90%,1597,65.90%,634,26.20%,1727,71.20%,3310,4.28%,1669,50.42%,499,1100,1084,237,314,456,34,-2.57%,-45,-226,-271,-601,-755,,
Brazoria-11,Brazoria,11,2577,1543,59.88%,320,20.70%,707,45.80%,457,29.60%,1011,65.50%,458,29.70%,1047,67.90%,3056,18.59%,1204,39.40%,356,789,705,193,257,373,49,1.36%,-173,-101,-273,-432,-339,,
Fort Bend-3006,Fort Bend,3006,5353,4148,77.49%,794,19.14%,2236,53.91%,1195,28.81%,2700,65.09%,1023,24.66%,3018,72.76%,6949,29.82%,3230,46.48%,931,2102,2032,651,376,767,171,-5.08%,52,-264,-212,-1172,-918,,
Brazoria-40,Brazoria,40,4497,2993,66.56%,532,17.80%,1389,46.40%,856,28.60%,2006,67.00%,809,27.00%,2108,70.40%,5278,17.37%,2299,43.56%,658,1540,1417,357,447,661,78,0.16%,-252,-198,-451,-883,-694,,
Fort Bend-1120,Fort Bend,1120,3048,2293,75.23%,368,16.05%,1163,50.72%,652,28.43%,1475,64.33%,557,24.29%,1696,73.96%,3030,-0.59%,1435,47.36%,408,923,993,143,253,339,46,-4.82%,60,-244,-184,-515,-858,,
Brazoria-39,Brazoria,39,4193,2207,52.64%,417,18.90%,998,45.20%,627,28.40%,1448,65.60%,637,28.90%,1492,67.60%,4395,4.82%,1374,31.26%,390,901,816,269,222,383,67,-0.50%,22,-237,-215,-511,-833,,
Fort Bend-3122,Fort Bend,3122,3919,2740,69.92%,409,14.93%,1442,52.63%,777,28.36%,1749,63.83%,612,22.34%,2074,75.69%,3799,-3.06%,2029,53.41%,575,1295,1484,216,264,394,65,-8.96%,119,-202,-82,-720,-711,,
Fort Bend-1103,Fort Bend,1103,4684,3303,70.52%,652,19.74%,1762,53.35%,935,28.31%,2163,65.49%,869,26.31%,2356,71.33%,5146,9.86%,2108,40.96%,597,1380,1396,278,350,517,84,-3.79%,68,-338,-270,-784,-1195,,
Fort Bend-4020,Fort Bend,4020,3116,2078,66.69%,397,19.10%,1033,49.71%,587,28.25%,1331,64.05%,532,25.60%,1494,71.90%,3064,-1.67%,1403,45.79%,396,899,940,192,232,347,39,-3.50%,8,-191,-183,-502,-675,,
Fort Bend-4029,Fort Bend,4029,1948,1405,72.13%,208,14.80%,678,48.26%,383,27.26%,891,63.42%,312,22.21%,1061,75.52%,1865,-4.26%,949,50.88%,259,602,678,100,136,196,35,-6.61%,51,-124,-73,-343,-456,,
Brazoria-52,Brazoria,52,2854,1963,68.78%,318,16.20%,905,46.10%,532,27.10%,1313,66.90%,478,24.40%,1436,73.20%,2942,3.08%,1268,43.10%,344,848,838,179,197,304,54,-3.09%,31,-188,-158,-505,-695,,
Fort Bend-3009,Fort Bend,3009,3038,2267,74.62%,352,15.53%,1207,53.24%,613,27.04%,1522,67.14%,515,22.72%,1693,74.68%,2984,-1.78%,1510,50.60%,408,1014,1114,178,177,284,41,-8.25%,152,-205,-52,-605,-757,,
Fort Bend-3148,Fort Bend,3148,5115,3871,75.68%,721,18.63%,2120,54.77%,1027,26.53%,2575,66.52%,911,23.53%,2848,73.57%,6857,34.06%,2966,43.26%,787,1973,1775,606,382,746,203,-1.39%,-101,-240,-341,-1186,-905,,
Brazoria-61,Brazoria,61,5074,3645,71.84%,547,15.00%,1755,48.10%,960,26.30%,2492,68.40%,866,23.80%,2697,74.00%,5416,6.74%,2450,45.24%,644,1676,1597,390,364,598,99,-1.89%,-2,-316,-318,-1031,-1195,,
Brazoria-46,Brazoria,46,2294,1472,64.17%,239,16.20%,640,43.50%,377,25.60%,982,66.70%,378,25.70%,1061,72.10%,2433,6.06%,1013,41.64%,259,676,659,175,137,242,42,-1.71%,-2,-118,-120,-416,-459,,
Fort Bend-4042,Fort Bend,4042,983,666,67.75%,98,14.71%,347,52.10%,170,25.53%,456,68.47%,158,23.72%,482,72.37%,1067,8.55%,513,48.08%,131,351,343,74,73,117,23,-2.64%,-20,-39,-59,-220,-153,,
Fort Bend-3104,Fort Bend,3104,4258,2982,70.03%,430,14.42%,1599,53.62%,760,25.49%,2053,68.85%,653,21.90%,2253,75.55%,4564,7.19%,2134,46.76%,544,1469,1495,243,328,474,68,-3.28%,-42,-216,-258,-925,-848,,
Fort Bend-3014,Fort Bend,3014,6897,4807,69.70%,790,16.43%,2735,56.90%,1211,25.19%,3277,68.17%,1043,21.70%,3646,75.85%,4929,,2104,42.69%,530,1434,1363,380,262,490,99,-1.90%,459,,,-904,-2703,,
