County-Precinct,County,Precinct,Registered,Total ballots,2016 % Turnout,S-D,%SD,S-R,%SR,Hillary,%H,Trump,%T,Gibson,%G,Olsen,%O,Registered Voters,% RV growth,2018 EV Total,EV Turnout,2016 Hillary Weight,2016 Trump Weight,0-30,30-70,70-100,,Unknown,Vote Share Discrepancy ,Hillary - (lean/strong dem EV civis),Hillary Weighted Deficit,,Potential vote Deficit,2016 Ballot Deficit,GOTV NOTES,Ethnicity
Fort Bend-3041,Fort Bend,3041,2028,1451,71.55%,190,13.09%,790,54.45%,354,24.40%,1009,69.54%,314,21.64%,1108,76.36%,1957,-3.50%,923,47.16%,225,642,699,85,113,164,26,-6.63%,77,-129,-52,-417,-528,,
Fort Bend-1072,Fort Bend,1072,109,66,60.55%,9,13.64%,40,60.61%,16,24.24%,50,75.76%,13,19.70%,49,74.24%,114,4.59%,50,43.86%,12,38,40,6,3,7,1,-11.04%,6,-4,3,-26,-16,,
Fort Bend-1015,Fort Bend,1015,1321,809,61.24%,144,17.80%,413,51.05%,196,24.23%,579,71.57%,185,22.87%,605,74.78%,1359,2.88%,460,33.85%,111,329,348,43,58,84,11,-6.01%,54,-85,-30,-218,-349,,
Brazoria-16,Brazoria,16,4800,2613,54.44%,427,16.30%,1267,48.50%,619,23.70%,1847,70.70%,632,24.20%,1891,72.40%,5024,4.67%,1555,30.95%,369,1099,1022,278,199,366,56,-0.18%,54,-250,-196,-731,-1058,,
Brazoria-64,Brazoria,64,21,13,61.90%,2,15.40%,9,69.20%,3,23.10%,11,84.60%,2,15.40%,11,84.60%,34,61.90%,14,41.18%,3,12,7,3,2,4,2,4.04%,-3,0,-3,-9,1,,
Fort Bend-1024,Fort Bend,1024,989,619,62.59%,113,18.26%,338,54.60%,141,22.78%,457,73.83%,145,23.42%,465,75.12%,1011,2.22%,379,37.49%,86,280,277,44,45,71,13,-3.94%,25,-55,-30,-193,-240,,
Brazoria-34,Brazoria,34,4147,2548,61.44%,366,14.40%,1282,50.30%,567,22.30%,1870,73.40%,558,21.90%,1918,75.30%,4388,5.81%,1622,36.96%,362,1191,1110,259,217,372,36,0.66%,-22,-205,-228,-829,-926,,
Brazoria-51,Brazoria,51,3448,2405,69.75%,294,12.20%,1173,48.80%,519,21.60%,1754,72.90%,485,20.20%,1847,76.80%,3439,-0.26%,1593,46.32%,344,1161,1181,175,192,297,45,-2.96%,30,-175,-145,-817,-812,,
Fort Bend-3019,Fort Bend,3019,1066,728,68.29%,120,16.48%,400,54.95%,157,21.57%,532,73.08%,161,22.12%,552,75.82%,1024,-3.94%,423,41.31%,91,309,312,46,56,84,9,-1.80%,17,-66,-48,-218,-305,,
Fort Bend-3063,Fort Bend,3063,3219,2252,69.96%,300,13.32%,1255,55.73%,485,21.54%,1656,73.53%,424,18.83%,1785,79.26%,3220,0.03%,1541,47.86%,332,1133,1205,131,172,251,33,-5.27%,62,-153,-91,-801,-711,,
Brazoria-3,Brazoria,3,4611,2775,60.18%,347,12.50%,1356,48.90%,591,21.30%,2066,74.50%,574,20.70%,2122,76.50%,4749,2.99%,1780,37.48%,379,1326,1319,216,205,335,40,-2.50%,51,-212,-160,-947,-995,,
Fort Bend-1008,Fort Bend,1008,946,603,63.74%,91,15.09%,331,54.89%,121,20.07%,461,76.45%,111,18.41%,471,78.11%,944,-0.21%,251,26.59%,50,192,186,23,37,51,5,0.17%,33,-71,-37,-142,-352,,
Fort Bend-1010,Fort Bend,1010,3993,2540,63.61%,375,14.76%,1368,53.86%,489,19.25%,1921,75.63%,464,18.27%,2006,78.98%,4107,2.85%,1664,40.52%,320,1258,1298,123,206,280,37,-2.44%,3,-169,-165,-938,-876,,
Fort Bend-3149,Fort Bend,3149,3952,3164,80.06%,333,10.52%,2016,63.72%,562,17.76%,2459,77.72%,482,15.23%,2621,82.84%,4291,8.58%,2586,60.27%,459,2010,2088,198,236,355,64,-4.04%,-29,-103,-131,-1550,-578,,
Fort Bend-3057,Fort Bend,3057,603,435,72.14%,40,9.20%,275,63.22%,62,14.25%,349,80.23%,52,11.95%,374,85.98%,"4,372",625.04%,1833,41.93%,261,1471,990,370,388,610,85,19.03%,-936,199,-737,-1209,1398,fast growing Trump people,
Fort Bend-1018,Fort Bend,1018,2005,1228,61.25%,140,11.40%,714,58.14%,159,12.95%,723,58.88%,191,15.55%,1010,82.25%,2122,5.84%,723,34.07%,94,426,590,64,50,88,19,-0.72%,21,-65,-45,-332,-505,,
Fort Bend-1068,Fort Bend,1068,474,303,63.92%,25,8.25%,175,57.76%,35,11.55%,258,85.15%,32,10.56%,267,88.12%,468,-1.27%,177,37.82%,20,151,153,10,6,12,8,-4.77%,17,-15,2,-130,-126,,
Fort Bend-1021,Fort Bend,1021,723,552,76.35%,35,6.34%,355,64.31%,61,11.05%,462,83.70%,57,10.33%,480,86.96%,721,-0.28%,204,28.29%,23,171,176,8,15,20,5,-1.34%,26,-38,-12,-148,-348,,
Fort Bend-3160,Fort Bend,3160,,,,,,,,,,,,,,,,1477,,599,40.56%,223,332,247,163,165,263,24,43.87%,-428,,,-109,599,,
Fort Bend-3159,Fort Bend,3159,,,,,,,,,,,,,,,,2336,,1041,44.56%,416,559,429,333,205,405,74,38.89%,-610,,,-144,1041,,
Fort Bend-1154,Fort Bend,1154,,,,,,,,,,,,,,,,2966,,923,31.12%,392,531,358,221,308,441,36,47.74%,-749,,,-139,923,,
Fort Bend-4158,Fort Bend,4158,,,,,,,,,,,,,,,,2007,,892,44.44%,527,320,192,286,373,545,41,61.05%,-918,,,206,892,,
Fort Bend-4155,Fort Bend,4155,,,,,,,,,,,,,,,,2812,,853,30.33%,548,263,116,169,535,636,33,74.61%,-1171,,,284,853,,
Fort Bend-2157,Fort Bend,2157,,,,,,,,,,,,,,,,2968,,1336,45.01%,671,602,319,392,533,768,92,57.50%,-1301,,,68,1336,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#DIV/0!
